UF,População,epiweek,corredor baixo,corredor mediano,corredor alto,Unidade da Federação,Tipo
28,2288116,27,0.0,0.0,0.0,Sergipe,Estado
28,2288116,28,0.0,0.0,0.0,Sergipe,Estado
28,2288116,29,0.0,0.0,0.0,Sergipe,Estado
28,2288116,30,0.04554435063320311,0.04554435063320311,0.04554435063320311,Sergipe,Estado
28,2288116,31,0.04554435063320311,0.04554435063320311,0.04554435063320311,Sergipe,Estado
28,2288116,32,0.0,0.0,0.0,Sergipe,Estado
28,2288116,33,0.0,0.0,0.0,Sergipe,Estado
28,2288116,34,0.0,0.0,0.0,Sergipe,Estado
28,2288116,35,0.0,0.0,0.0,Sergipe,Estado
28,2288116,36,0.04389356474792081,0.04531561184129686,0.046783729878042225,Sergipe,Estado
28,2288116,37,0.0,0.0,0.0,Sergipe,Estado
28,2288116,38,0.0,0.0,0.0,Sergipe,Estado
28,2288116,39,0.09211763237418921,0.09211763237418921,0.09211763237418921,Sergipe,Estado
28,2288116,40,0.0,0.0,0.0,Sergipe,Estado
28,2288116,41,0.044584399829330906,0.044584399829330906,0.044584399829330906,Sergipe,Estado
28,2288116,42,0.04529946143890224,0.04580086106368841,0.04630781045828971,Sergipe,Estado
28,2288116,43,0.04554435063320311,0.04554435063320311,0.04554435063320311,Sergipe,Estado
28,2288116,44,0.0,0.0,0.0,Sergipe,Estado
28,2288116,45,0.0,0.0,0.0,Sergipe,Estado
28,2288116,46,0.0,0.0,0.0,Sergipe,Estado
28,2288116,47,0.04554435063320311,0.04554435063320311,0.04554435063320311,Sergipe,Estado
28,2288116,48,0.0,0.0,0.0,Sergipe,Estado
28,2288116,49,0.0460588161870946,0.0460588161870946,0.0460588161870946,Sergipe,Estado
28,2288116,50,0.0,0.0,0.0,Sergipe,Estado
28,2288116,51,0.0,0.0,0.0,Sergipe,Estado
28,2288116,52,0.0,0.0,0.0,Sergipe,Estado
29,15344447,1,0.006708100939219304,0.010495440300679443,0.0164210807355481,Bahia,Estado
29,15344447,2,0.010647261737686289,0.016660472974167992,0.026069741362749657,Bahia,Estado
29,15344447,3,0.017317464749771538,0.022842585606897184,0.03013049108214931,Bahia,Estado
29,15344447,4,0.0047421611065302065,0.017946950463943095,0.06792114896975729,Bahia,Estado
29,15344447,5,0.006420521791128169,0.012014279994055988,0.022481494257215358,Bahia,Estado
29,15344447,6,0.017317464749771538,0.022842585606897184,0.03013049108214931,Bahia,Estado
29,15344447,7,0.005614159884481346,0.011827767649823163,0.024918436677392086,Bahia,Estado
29,15344447,8,0.008116820040840871,0.020980294645910457,0.05422970587181073,Bahia,Estado
29,15344447,9,0.006233886628082698,0.013633670732202579,0.029817189295161396,Bahia,Estado
29,15344447,10,0.018608678764853566,0.02851181072919408,0.043685172995342615,Bahia,Estado
29,15344447,11,0.01967662679832216,0.026548770139689145,0.03582103798351005,Bahia,Estado
29,15344447,12,0.01675265117857597,0.03733506788079639,0.08320517623182323,Bahia,Estado
29,15344447,13,0.02241431721851074,0.04119959143417288,0.07572866564683833,Bahia,Estado
29,15344447,14,0.010269304244238473,0.03459911903876253,0.11657060788028413,Bahia,Estado
