Sigla,Sexo,Ano,Total,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+
,,2015,6610681,460912,498487,550599,565610,580725,578243,582614,541181,478099,431431,374185,299118,229478,167323,115304,79123,45348,22007,10894
,,2016,6695855,457302,492609,543042,571829,584723,580494,586078,552510,489251,439904,385468,311932,239958,175695,120580,81985,47756,23162,11577
,,2017,6778772,454001,487133,535554,575984,588324,584142,586765,562932,501742,447775,395957,325127,250628,184370,126628,84647,50374,24370,12319
,,2018,6860047,451005,482103,528234,578223,591433,588819,585898,572134,515016,455627,405760,338340,261596,193337,133309,87377,53075,25654,13107
,,2019,6939629,448263,477491,521189,578739,593852,593610,585277,579624,528075,464260,415010,351028,273016,202616,140375,90569,55656,27048,13931
,,2020,7017496,445741,473242,514499,578025,595174,597871,586043,585202,540223,474141,423848,362837,284946,212205,147666,94452,58039,28559,14783
,,2021,7094285,443434,469405,508265,570208,601494,601847,588206,588656,551591,485295,432264,373893,297294,222073,155234,98973,60283,30192,15678
,,2022,7170021,441312,465993,502521,562390,605798,605604,591968,589506,562196,497882,440175,384239,310037,232150,163100,104141,62405,31971,16633
,,2023,7243974,439308,462898,497242,554653,608097,608900,596771,588803,571578,511252,448080,393932,322802,242516,171245,109836,64598,33810,17653
,,2024,7316094,437406,460068,492401,547138,608556,611533,601711,588340,579254,524416,456767,403096,335077,253311,179682,115856,67156,35573,18753
,,2025,7386343,435590,457469,487946,539956,607637,613096,606150,589257,585014,536689,466691,411870,346520,264591,188413,122077,70242,37210,19925
,,2026,7455181,433854,455080,483899,533224,599536,619627,610302,591557,588618,548169,477852,420229,357252,276267,197401,128544,73816,38769,21185
,,2027,7522592,432171,452868,480273,526986,591341,624127,614228,595442,589592,558870,490402,428095,367313,288312,206592,135278,77878,40269,22555
,,2028,7588003,430504,450777,476983,521232,583150,626554,617722,600373,589030,568347,503731,435966,376763,300376,216062,142268,82341,41838,23986
,,2029,7651361,428838,448795,473976,515930,575135,627052,620583,605457,588712,576122,516860,444605,385712,311994,225932,149520,87062,43663,25413
,,2030,7712596,427150,446904,471217,511038,567423,626059,622396,610056,589777,581989,529120,454446,394297,322845,236244,157035,91946,45848,26806
DF,M,2000,1021585,109834,101335,96975,109782,114100,103582,90815,76479,60510,48967,36178,24992,19594,11909,8062,4437,2042,996,996
,,2001,1038836,109850,102720,96561,108855,115993,105811,93178,78042,62782,50776,38116,26128,20194,12760,8362,4738,2181,930,859
,,2002,1056957,109353,104120,97230,107282,117556,108652,95431,79823,65154,52442,40143,27601,20564,13869,8607,5111,2348,928,743
,,2003,1075979,108433,105429,98710,105502,118790,111907,97651,81843,67523,54102,42207,29329,20879,15091,8897,5521,2543,971,651
,,2004,1095969,107215,106541,100540,104185,119714,115265,99951,84155,69719,55970,44232,31171,21398,16218,9357,5932,2773,1048,585
,,2005,1116999,105869,107336,102389,103766,120376,118536,102391,86787,71639,58170,46184,33040,22275,17139,10045,6328,3036,1153,540
,,2006,1139153,105012,107278,104265,104335,120575,121639,105194,89528,73567,60570,48049,34978,23468,17890,10951,6709,3347,1277,521
,,2007,1162491,104377,106718,106165,106026,120077,124421,108632,92197,75733,63088,49789,37014,24987,18448,12097,7059,3716,1422,525
,,2008,1187085,103971,105739,107987,108590,119337,126863,112514,94875,78164,65619,51539,39101,26756,18961,13358,7452,4119,1590,550
,,2009,1213021,103791,104469,109628,111577,119056,128962,116523,97682,80915,67994,53503,41168,28649,19662,14545,7988,4529,1787,593
,,2010,1240395,103829,103069,110964,114645,119711,130755,120472,100678,84023,70112,55804,43183,30586,20690,15553,8720,4934,2013,654
,,2011,1268616,104082,102186,111324,117661,121294,131944,124252,103995,87269,72240,58301,45120,32587,22002,16400,9625,5333,2271,730
,,2012,1296935,104531,101556,110980,120466,123822,132190,127642,107814,90422,74585,60896,46926,34659,23595,17053,10708,5705,2563,822
,,2013,1325217,105131,101175,110060,122927,127034,131946,130565,111944,93510,77159,63478,48725,36753,25393,17646,11867,6102,2871,931
,,2014,1353452,105830,101030,108745,124921,130459,131935,132973,116096,96613,80007,65883,50706,38803,27283,18387,12948,6597,3181,1055
,,2015,1381586,106562,101115,107257,126307,133725,132634,134860,120101,99746,83161,68016,52980,40776,29185,19398,13862,7224,3480,1197
,,2016,1409671,107280,101418,106283,126528,136804,134167,136009,123911,103094,86423,70147,55419,42663,31129,20656,14634,7976,3773,1357
,,2017,1437665,107957,101914,105558,125975,139635,136689,136205,127330,106932,89593,72486,57951,44426,33140,22166,15252,8861,4054,1541
,,2018,1465432,108569,102558,105085,124785,142068,139916,135918,130278,111085,92703,75049,60473,46181,35172,23868,15826,9800,4358,1740
,,2019,1492930,109109,103293,104856,123151,143965,143365,135877,132704,115259,95830,77882,62827,48109,37163,25655,16533,10675,4732,1945
,,2020,1520119,109579,104058,104863,121319,145170,146652,136560,134604,119293,98989,81015,64919,50314,39082,27461,17469,11425,5195,2152
,,2021,1546883,109979,104795,105084,119985,145108,149717,138075,135746,123113,102343,84240,67007,52672,40916,29306,18619,12071,5740,2367
,,2022,1573176,110303,105485,105487,118903,144180,152483,140570,135926,126524,106162,87361,69288,55112,42631,31208,19985,12608,6371,2589
,,2023,1599051,110556,106115,106040,118090,142552,154807,143774,135635,129469,110286,90425,71787,57544,44336,33133,21514,13120,7036,2832
,,2024,1624465,110741,106676,106690,117543,140438,156538,147201,135594,131891,114431,93504,74546,59815,46206,35016,23122,13739,7658,3116
,,2025,1649384,110851,107172,107373,117255,138107,157512,150463,136280,133788,118435,96615,77594,61838,48331,36833,24749,14544,8195,3449
,,2026,1673727,110881,107602,108035,117197,136276,157165,153502,137798,134934,122227,99924,80734,63857,50600,38574,26410,15517,8668,3826
,,2027,1697477,110836,107954,108656,117338,134715,155912,156237,140292,135128,125615,103693,83779,66064,52943,40209,28122,16659,9077,4248
,,2028,1720652,110727,108240,109211,117641,133450,153927,158515,143486,134847,128539,107758,86770,68479,55275,41837,29853,17926,9478,4693
,,2029,1743220,110549,108457,109697,118046,132480,151441,160181,146901,134806,130942,111841,89777,71145,57453,43614,31546,19256,9960,5128
,,2030,1765151,110291,108606,110116,118486,131790,148747,161064,150151,135480,132819,115786,92815,74088,59398,45620,33180,20605,10569,5540
,F,2000,1087213,105297,99511,95895,117763,123114,109767,96854,84114,68204,55777,41672,28582,21708,14404,10337,6555,3704,1978,1977
,,2001,1109770,104814,101302,96310,117009,123844,113489,99166,87371,70299,57976,44224,30439,22710,15343,10718,6953,3898,2011,1894
,,2002,1133161,103966,102858,97960,114930,124994,117258,101780,90290,73046,59912,46847,32637,23609,16521,11102,7404,4140,2084,1823
,,2003,1157494,102921,103995,100454,112280,126388,120853,104778,92963,76312,61725,49501,35090,24547,17845,11561,7890,4432,2190,1769
,,2004,1182855,101898,104525,103073,110248,127792,123887,108281,95543,79879,63615,52142,37653,25746,19164,12194,8383,4773,2326,1733
,,2005,1209356,101169,104255,105295,109610,129089,126141,112319,98138,83626,65710,54749,40232,27335,20389,13056,8874,5163,2491,1715
,,2006,1237086,100357,103726,107243,110263,129675,128305,116579,100920,87347,68236,57235,42866,29264,21552,14132,9381,5599,2687,1719
,,2007,1266146,99762,102833,108959,112247,128884,130915,120893,104025,90826,71463,59481,45586,31532,22633,15451,9904,6084,2920,1748
,,2008,1296584,99387,101744,110251,115168,127488,133759,125032,107528,94135,75288,61612,48355,34056,23763,16922,10501,6604,3190,1801
,,2009,1328413,99226,100674,110927,118283,126711,136571,128611,111549,97390,79501,63818,51124,36702,25149,18403,11262,7135,3501,1876
,,2010,1361679,99277,99900,110790,121032,127366,139212,131407,116121,100670,83965,66229,53866,39378,26918,19813,12242,7670,3850,1973
,,2011,1395828,99532,99059,110332,123451,129149,141055,134058,120921,104048,88429,69058,56489,42105,29007,21155,13423,8221,4236,2100
,,2012,1430163,99967,98461,109414,125497,131935,141332,137044,125735,107594,92575,72546,58864,44893,31398,22390,14809,8782,4663,2264
,,2013,1464544,100540,98098,108225,126954,135379,140752,140150,130295,111405,96416,76581,61104,47702,34012,23639,16313,9401,5113,2465
,,2014,1498920,101201,97960,107016,127625,138768,140499,143119,134189,115644,100042,80947,63389,50488,36719,25094,17798,10153,5568,2701
,,2015,1533244,101893,98039,106094,127312,141574,141322,145816,137177,120371,103515,85507,65843,53228,39421,26879,19184,11073,6024,2972
,,2016,1567545,102573,98320,105119,126566,143937,143081,147649,139936,125304,106980,90033,68684,55842,42153,28952,20490,12157,6490,3279
,,2017,1601779,103213,98782,104386,125316,145858,145873,147883,143014,130244,110608,94240,72173,58213,44941,31316,21705,13416,6970,3628
,,2018,1635788,103792,99379,103892,123767,147113,149320,147246,146191,134923,114510,98137,76204,60451,47748,33897,22936,14773,7502,4007
,,2019,1669522,104302,100063,103634,122184,147504,152691,146937,149201,138928,118846,101817,80562,62730,50531,36569,24361,16115,8140,4407
,,2020,1702929,104744,100776,103596,120885,146841,155443,147715,151911,142015,123671,105342,85106,65175,53267,39241,26089,17374,8912,4826
,,2021,1735908,105116,101471,103760,119531,145673,157687,149426,153705,144843,128690,108847,89608,67993,55877,41945,28086,18566,9812,5272
,,2022,1768403,105416,102117,104101,118424,143943,159423,152163,153854,147957,133695,112505,93783,71442,58247,44695,30353,19688,10843,5754
,,2023,1800450,105651,102702,104584,117572,141886,160444,155566,153116,151147,138435,116435,97652,75422,60483,47464,32817,20832,11951,6291
,,2024,1832002,105819,103218,105159,116972,139781,160553,158890,152700,154147,142494,120802,101305,79724,62759,50206,35372,22147,13046,6908
,,2025,1863025,105917,103667,105766,116611,137961,159566,161588,153382,156812,145629,125654,104809,84213,65199,52899,37928,23728,14078,7618
,,2026,1893403,105937,104049,106356,116468,136092,158039,163764,155009,158532,148493,130698,108292,88665,68003,55465,40514,25545,15062,8420
,,2027,1923104,105885,104358,106897,116518,134489,155924,165415,157676,158589,151630,135721,111928,92797,71423,57800,43143,27592,16000,9319
,,2028,1952176,105772,104603,107377,116721,133162,153473,166326,161021,157750,154822,140474,115834,96626,75364,60006,45787,29810,16966,10282
,,2029,1980569,105594,104779,107784,117024,132113,150977,166302,164291,157236,157803,144539,120167,100241,79616,62253,48400,32109,18069,11272
,,2030,2008258,105342,104891,108124,117364,131326,148775,165163,166929,157826,160425,147680,124981,103702,84047,64658,50963,34411,19384,12267
,Total,2000,2108798,215131,200846,192870,227545,237214,213349,187669,160593,128714,104744,77850,53574,41302,26313,18399,10992,5746,2974,2973
,,2001,2148606,214664,204022,192871,225864,239837,219300,192344,165413,133081,108752,82340,56567,42904,28103,19080,11691,6079,2941,2753
,,2002,2190118,213319,206978,195190,222212,242550,225910,197211,170113,138200,112354,86990,60238,44173,30390,19709,12515,6488,3012,2566
,,2003,2233473,211354,209424,199164,217782,245178,232760,202429,174806,143835,115827,91708,64419,45426,32936,20458,13411,6975,3161,2420
,,2004,2278824,209113,211066,203613,214433,247506,239152,208232,179698,149598,119585,96374,68824,47144,35382,21551,14315,7546,3374,2318
,,2005,2326355,207038,211591,207684,213376,249465,244677,214710,184925,155265,123880,100933,73272,49610,37528,23101,15202,8199,3644,2255
,,2006,2376239,205369,211004,211508,214598,250250,249944,221773,190448,160914,128806,105284,77844,52732,39442,25083,16090,8946,3964,2240
,,2007,2428637,204139,209551,215124,218273,248961,255336,229525,196222,166559,134551,109270,82600,56519,41081,27548,16963,9800,4342,2273
,,2008,2483669,203358,207483,218238,223758,246825,260622,237546,202403,172299,140907,113151,87456,60812,42724,30280,17953,10723,4780,2351
,,2009,2541434,203017,205143,220555,229860,245767,265533,245134,209231,178305,147495,117321,92292,65351,44811,32948,19250,11664,5288,2469
,,2010,2602074,203106,202969,221754,235677,247077,269967,251879,216799,184693,154077,122033,97049,69964,47608,35366,20962,12604,5863,2627
,,2011,2664444,203614,201245,221656,241112,250443,272999,258310,224916,191317,160669,127359,101609,74692,51009,37555,23048,13554,6507,2830
,,2012,2727098,204498,200017,220394,245963,255757,273522,264686,233549,198016,167160,133442,105790,79552,54993,39443,25517,14487,7226,3086
,,2013,2789761,205671,199273,218285,249881,262413,272698,270715,242239,204915,173575,140059,109829,84455,59405,41285,28180,15503,7984,3396
,,2014,2852372,207031,198990,215761,252546,269227,272434,276092,250285,212257,180049,146830,114095,89291,64002,43481,30746,16750,8749,3756
,,2015,2914830,208455,199154,213351,253619,275299,273956,280676,257278,220117,186676,153523,118823,94004,68606,46277,33046,18297,9504,4169
,,2016,2977216,209853,199738,211402,253094,280741,277248,283658,263847,228398,193403,160180,124103,98505,73282,49608,35124,20133,10263,4636
,,2017,3039444,211170,200696,209944,251291,285493,282562,284088,270344,237176,200201,166726,130124,102639,78081,53482,36957,22277,11024,5169
,,2018,3101220,212361,201937,208977,248552,289181,289236,283164,276469,246008,207213,173186,136677,106632,82920,57765,38762,24573,11860,5747
,,2019,3162452,213411,203356,208490,245335,291469,296056,282814,281905,254187,214676,179699,143389,110839,87694,62224,40894,26790,12872,6352
,,2020,3223048,214323,204834,208459,242204,292011,302095,284275,286515,261308,222660,186357,150025,115489,92349,66702,43558,28799,14107,6978
,,2021,3282791,215095,206266,208844,239516,290781,307404,287501,289451,267956,231033,193087,156615,120665,96793,71251,46705,30637,15552,7639
,,2022,3341579,215719,207602,209588,237327,288123,311906,292733,289780,274481,239857,199866,163071,126554,100878,75903,50338,32296,17214,8343
,,2023,3399501,216207,208817,210624,235662,284438,315251,299340,288751,280616,248721,206860,169439,132966,104819,80597,54331,33952,18987,9123
,,2024,3456467,216560,209894,211849,234515,280219,317091,306091,288294,286038,256925,214306,175851,139539,108965,85222,58494,35886,20704,10024
,,2025,3512409,216768,210839,213139,233866,276068,317078,312051,289662,290600,264064,222269,182403,146051,113530,89732,62677,38272,22273,11067
,,2026,3567130,216818,211651,214391,233665,272368,315204,317266,292807,293466,270720,230622,189026,152522,118603,94039,66924,41062,23730,12246
,,2027,3620581,216721,212312,215553,233856,269204,311836,321652,297968,293717,277245,239414,195707,158861,124366,98009,71265,44251,25077,13567
,,2028,3672828,216499,212843,216588,234362,266612,307400,324841,304507,292597,283361,248232,202604,165105,130639,101843,75640,47736,26444,14975
,,2029,3723789,216143,213236,217481,235070,264593,302418,326483,311192,292042,288745,256380,209944,171386,137069,105867,79946,51365,28029,16400
,,2030,3773409,215633,213497,218240,235850,263116,297522,326227,317080,293306,293244,263466,217796,177790,143445,110278,84143,55016,29953,17807
BR,M,2000,86169657,8822519,8786527,8903808,9176873,8250696,7260478,6701791,6195776,5308879,4363521,3434991,2587248,2110503,1602216,1205425,760107,404998,189758,103543
,,2001,87336165,8835314,8777107,8846059,9188514,8448735,7402924,6769451,6294888,5467326,4517190,3579983,2685850,2152998,1642237,1227294,788689,419607,188073,103926
,,2002,88480530,8825999,8772630,8810013,9131405,8655428,7565420,6839393,6374445,5627848,4670308,3724897,2805487,2189847,1692185,1244987,819781,435963,191271,103223
,,2003,89601782,8793911,8772501,8791274,9030993,8847769,7744085,6918548,6440751,5783595,4823600,3870251,2940149,2229400,1747166,1262664,850961,453985,197541,102638
,,2004,90698483,8738757,8775072,8778937,8928799,8992029,7932957,7016271,6503751,5924322,4978473,4017601,3080388,2283910,1799912,1285909,879197,473799,205707,102692
,,2005,91769282,8665669,8773343,8766463,8851716,9068600,8125853,7137842,6570592,6044253,5135202,4167709,3220327,2360121,1847079,1317468,903397,495196,214996,103456
,,2006,92813167,8552332,8788580,8757565,8794793,9080845,8323066,7280990,6640446,6145078,5293153,4319020,3360924,2455704,1890269,1356576,924691,518193,225459,105483
,,2007,93829262,8436921,8781991,8753572,8759269,9024955,8528507,7443715,6712397,6226762,5453212,4469950,3501723,2570684,1928744,1404094,943182,543264,237173,109147
,,2008,94816963,8319655,8752834,8753901,8740804,8926083,8719503,7622163,6793287,6295456,5608683,4621193,3643168,2699626,1969912,1455912,961948,568617,250081,114137
,,2009,95776055,8201738,8700739,8756910,8728605,8825286,8862805,7810454,6892322,6360793,5749609,4774086,3786664,2833930,2024565,1505948,985162,592067,264197,120175
,,2010,96706703,8084544,8630809,8755622,8716209,8749139,8939151,8002481,7014642,6429797,5870324,4928859,3932910,2968245,2098661,1551380,1014838,612792,279343,126957
,,2011,97610297,7968967,8520795,8771349,8707666,8693202,8952332,8198766,7158146,6501702,5972499,5085085,4080537,3103383,2190090,1593568,1050436,631594,295542,134638
,,2012,98487258,7855783,8408609,8765388,8704469,8659029,8898828,8403359,7320989,6575687,6056136,5243672,4228135,3238929,2298771,1631870,1092658,648578,313082,143286
,,2013,99336858,7745875,8294199,8736869,8705845,8642183,8803322,8593953,7499389,6658389,6127136,5398064,4376340,3375284,2419909,1672545,1138166,665820,330790,152780
,,2014,100159507,7639836,8178587,8685434,8710088,8631969,8706325,8737916,7687579,6758883,6194845,5538560,4526467,3513756,2545918,1724737,1182129,686155,347268,163055
,,2015,100955522,7538055,8062852,8616189,8710123,8622007,8634055,8816331,7879629,6882205,6266080,5659620,4678733,3655012,2672038,1793495,1222314,710926,361970,173888
,,2016,101726102,7440345,7948370,8506920,8727113,8616044,8581961,8832635,8075960,7026347,6340073,5762812,4832571,3797753,2799118,1877125,1259991,739870,375571,185523
,,2017,102471274,7346412,7836274,8395463,8722384,8615332,8551296,8783049,8280489,7189428,6416042,5848101,4988727,3940598,2926875,1975674,1294881,773558,388325,198366
,,2018,103189829,7255932,7727362,8281774,8695133,8619040,8537606,8691933,8471272,7367740,6500461,5921171,5140886,4084140,3055607,2085064,1331960,809560,401433,211755
,,2019,103881681,7168551,7622248,8166872,8645006,8625473,8530327,8599232,8616171,7555694,6602187,5990980,5279752,4229575,3186440,2198831,1378526,844400,416496,224920
,,2020,104546709,7083953,7521305,8051817,8577057,8627654,8523174,8530805,8696508,7747458,6726162,6064104,5400037,4377087,3319889,2312935,1438562,876525,434245,237432
,,2021,105183853,7002050,7424232,7937803,8469152,8646292,8519537,8481900,8715361,7943296,6870316,6139731,5503161,4526088,3454797,2428084,1510687,906978,454543,249845
,,2022,105792687,6922558,7330826,7825955,8358850,8643065,8520678,8453725,8668940,8147061,7032783,6217101,5589095,4677215,3589891,2544065,1594877,935692,477820,262490
,,2023,106373562,6844940,7240865,7717284,8246276,8617406,8526097,8442198,8581428,8337298,7210093,6302577,5663315,4824575,3725722,2661134,1687888,966330,502499,275637
,,2024,106926006,6768835,7154005,7612384,8132453,8568967,8534148,8436880,8492195,8482383,7396817,6404770,5734333,4959385,3863378,2780198,1784585,1004178,526410,289702
,,2025,107449726,6694045,7069933,7511646,8018431,8502771,8537905,8431556,8426792,8563906,7587299,6528495,5808409,5076650,4003000,2901666,1881734,1052069,548608,304811
,,2026,107944653,6620462,6988558,7414838,7905491,8397076,8557935,8429805,8380699,8584997,7781881,6671776,5884842,5177781,4144024,3024549,1979967,1108945,569895,321132
,,2027,108410458,6548189,6909558,7321746,7794744,8289015,8556336,8432863,8355153,8541888,7984312,6832817,5962919,5262771,4287049,3147716,2079191,1174746,590351,339094
,,2028,108846637,6477460,6832402,7232081,7687141,8178645,8532431,8440041,8345945,8458242,8173475,7008230,6048693,5336713,4426578,3271643,2179533,1247090,612326,357968
,,2029,109252781,6408283,6756726,7145521,7583257,8066994,8485870,8449705,8342776,8372804,8318349,7192794,6150457,5407591,4554502,3397284,2281677,1322244,639172,376775
,,2030,109628293,6340468,6682334,7061730,7483464,7955073,8421636,8455026,8339463,8310718,8400871,7381024,6272832,5481279,4666201,3524715,2385893,1397896,672603,395067
,,2031,109973545,6275707,6608980,6980452,7387420,7843950,8317979,8476037,8339325,8267335,8423938,7573177,6413876,5557055,4763021,3653396,2491328,1474497,711843,414229
,,2032,110291279,6215596,6536930,6901549,7295073,7735016,8212021,8475544,8343814,8244027,8383950,7773015,6571940,5634350,4845074,3783863,2597051,1551991,756762,433713
,,2033,110580270,6159266,6466410,6824467,7206102,7629170,8103787,8452923,8352290,8236727,8304143,7959939,6743835,5718884,4917000,3911191,2703440,1630447,805792,454457
,,2034,110839481,6105918,6397453,6748860,7120173,7526959,7994269,8407866,8363140,8235265,8222500,8103677,6924611,5818581,4986108,4028124,2811319,1710304,856590,477764
,,2035,111067779,6053994,6330695,6674535,7036981,7428764,7884437,8345289,8369638,8233549,8163662,8186545,7109024,5937863,5057759,4130579,2920765,1791730,907712,504258
,,2036,111264145,6002256,6266228,6601411,6956425,7334395,7775560,8243931,8391916,8235123,8123241,8211499,7297324,6074852,5131332,4219875,3031350,1874153,959565,533709
,,2037,111427670,5947420,6206397,6529574,6878233,7243583,7668742,8140219,8392852,8241186,8102398,8174997,7493011,6227870,5206217,4296242,3143493,1956914,1012200,566122
,,2038,111557573,5889767,6150309,6459262,6801804,7156079,7564862,8034160,8371831,8251096,8097107,8099652,7676160,6393919,5287771,4363783,3252989,2040324,1065638,601060
,,2039,111653523,5829611,6097166,6390510,6726806,7071545,7464557,7926701,8328498,8263347,8097487,8022437,7817470,6568407,5383395,4428838,3353697,2125020,1120109,637922
,,2040,111715186,5767316,6045460,6323938,6653051,6989686,7368157,7818861,8267704,8271241,8097589,7967385,7899856,6746420,5497242,4496087,3442212,2211013,1175668,676300
,,2041,111742097,5703238,5993937,6259653,6580475,6910393,7275453,7711883,8168431,8294648,8100812,7930192,7926276,6928122,5627472,4565006,3519815,2297951,1231963,716377
,,2042,111734134,5637758,5939303,6199983,6509161,6833374,7186257,7606905,8066763,8296857,8108365,7911949,7893416,7116804,5772423,4635014,3586834,2386135,1288579,758254
,,2043,111691455,5571322,5881867,6144038,6439394,6758061,7100306,7504817,7962684,8277246,8119663,7908767,7823094,7293475,5929355,4711011,3646640,2472248,1345735,801732
,,2044,111614261,5504378,5821931,6091065,6371162,6684147,7017229,7406176,7857137,8235510,8133185,7910999,7750965,7430113,6094143,4799697,3704434,2551510,1403856,846624
,,2045,111502896,5437357,5759827,6039525,6305065,6611434,6936756,7311335,7751187,8176479,8142325,7912906,7700182,7510478,6262232,4904742,3764041,2621355,1462927,892743
,,2046,111357593,5370764,5695926,5988124,6241212,6539844,6858727,7220141,7646038,8079388,8166717,7917795,7666542,7537590,6433763,5024366,3824998,2682953,1522689,940016
,,2047,111178810,5305013,5630607,5933615,6181927,6469458,6782896,7132359,7542797,7979828,8170115,7926860,7651034,7508451,6611798,5156933,3886811,2736700,1583324,988284
,,2048,110967211,5240325,5564346,5876305,6126356,6400592,6708743,7047693,7442346,7877812,8151941,7939517,7649941,7443818,6778479,5300037,3953708,2785151,1642510,1037591
,,2049,110723325,5176890,5497588,5816485,6073734,6333191,6635965,6965832,7345263,7774290,8111908,7954198,7653988,7377552,6907604,5450180,4031433,2832156,1696971,1088097
,,2050,110447804,5114852,5430737,5754494,6022518,6267897,6564323,6886540,7251864,7670330,8054771,7964479,7657654,7331531,6984132,5603384,4123077,2880518,1745014,1139689
,,2051,110141324,5054357,5364298,5690710,5971443,6204821,6493782,6809650,7162027,7567097,7960192,7989742,7664124,7301701,7011094,5759698,4226921,2929888,1787610,1192169
,,2052,109804395,4995473,5298686,5625509,5917277,6146243,6424412,6734908,7075547,7465685,7863104,7994347,7674533,7288950,6985900,5921798,4341383,2979865,1825210,1245565
,,2053,109437771,4938155,5234122,5559362,5860297,6091356,6356463,6661799,6992117,7366986,7763526,7977731,7688343,7289758,6927901,6073448,4464557,3033821,1859484,1298545
,,2054,109042173,4882343,5170831,5492707,5800792,6039400,6289959,6589999,6911454,7271522,7662436,7939647,7704057,7295343,6868508,6190948,4593693,3096299,1892882,1349353
,,2055,108618267,4827957,5108948,5425958,5739133,5988810,6225541,6519283,6833283,7179658,7560808,7884735,7715424,7300507,6827933,6260822,4725520,3169661,1927182,1397104
,,2056,108166899,4774911,5048590,5359621,5675665,5938339,6163273,6449662,6757423,7091328,7459794,7793198,7741331,7308286,6802330,6286174,4859990,3252370,1962139,1442475
,,2057,107688801,4723092,4989829,5294110,5610774,5884763,6105467,6381185,6683716,7006244,7360531,7699157,7747023,7319772,6792421,6265089,4999307,3342957,1997466,1485898
,,2058,107184648,4672377,4932618,5229671,5544931,5828361,6051289,6314099,6611619,6924154,7263879,7602594,7732017,7334420,6794926,6215034,5129404,3440046,2035560,1527649
,,2059,106655130,4622648,4876898,5166503,5478547,5769433,5999972,6248408,6540766,6844779,7170408,7504469,7696122,7350819,6801812,6164038,5229987,3541769,2079611,1568141
,,2060,106100861,4573803,4822602,5104700,5412072,5708334,5950010,6184737,6470977,6767797,7080479,7405777,7643842,7362971,6808277,6130039,5289736,3645702,2131195,1607811
,F,2000,87278689,8491991,8487231,8614988,8920682,8096049,7208187,6734234,6302187,5470281,4565238,3670106,2858334,2403019,1891445,1491525,999025,589069,304174,180924
,,2001,88549064,8498323,8475818,8556415,8931314,8290221,7348977,6802684,6404598,5635784,4728454,3824613,2966203,2458834,1947310,1529209,1043982,611645,308210,186470
,,2002,89795598,8483348,8468413,8519877,8874671,8491484,7509411,6873000,6486317,5802880,4890915,3979913,3095108,2507615,2013932,1560457,1093050,636884,316552,191771
,,2003,91017326,8446607,8464277,8500653,8775351,8678036,7685734,6951985,6553724,5964531,5053210,4136228,3239508,2557911,2085913,1590340,1142902,665028,328026,197362
,,2004,92213004,8387853,8461996,8487543,8673626,8817740,7872059,7048780,6617077,6110186,5216606,4294715,3390226,2622675,2154819,1626130,1189087,696641,341813,203432
,,2005,93381524,8310144,8457009,8473701,8595641,8891746,8062389,7168663,6683762,6233784,5381264,4455852,3541401,2709457,2216401,1671742,1229623,731666,357308,209971
,,2006,94521970,8196551,8465459,8462615,8537516,8902838,8256516,7309699,6753021,6336998,5546549,4617999,3693942,2816093,2272423,1726046,1265467,769712,374614,217912
,,2007,95633493,8081348,8452656,8455516,8501358,8846836,8457690,7470243,6824104,6419703,5713409,4779466,3847352,2942803,2322041,1789937,1296168,811100,393813,227950
,,2008,96715476,7964826,8418070,8451680,8482441,8748274,8644196,7646554,6903755,6488222,5874903,4940806,4001825,3084337,2373203,1858559,1325911,853176,415012,239726
,,2009,97767914,7848082,8361433,8449676,8469621,8647312,8784018,7832802,7001064,6552657,6020606,5103257,4158483,3231994,2437948,1924395,1360680,892448,438555,252883
,,2010,98791094,7732413,8285778,8444955,8456048,8569968,8858402,8022996,7121269,6620367,6144517,5266965,4317778,3380202,2523317,1983666,1403669,927357,464297,267130
,,2011,99786721,7618838,8174265,8453733,8445364,8512579,8870281,8217132,7262540,6690610,6248398,5431370,4478153,3529825,2627318,2038125,1454069,958923,492290,282908
,,2012,100755204,7508175,8061013,8441389,8438804,8477244,8815493,8418481,7423305,6762663,6332117,5597419,4637953,3680353,2750179,2087114,1512790,987075,523053,300584
,,2013,101695856,7401181,7946231,8407297,8435542,8459143,8718323,8605310,7599781,6843208,6401824,5758270,4797722,3831948,2886941,2137798,1575633,1014924,554669,320111
,,2014,102609055,7298297,7830922,8351178,8434160,8447136,8618766,8745726,7786206,6941260,6467486,5903671,4958647,3985696,3029514,2200991,1636200,1046968,584676,341555
,,2015,103495127,7199685,7716257,8276054,8430077,8434416,8542753,8821076,7976626,7062021,6536317,6027724,5120879,4142038,3172665,2283016,1691282,1085523,611973,364745
,,2016,104355330,7105143,7603503,8165124,8439451,8424610,8486640,8834163,8170982,7203663,6607609,6132091,5283841,4299498,3317226,2382041,1742430,1129954,637314,390047
,,2017,105189655,7014366,7493687,8052464,8427714,8418925,8452497,8780826,8372501,7364596,6680665,6216646,5448426,4456500,3462770,2498257,1789157,1180932,660756,417970
,,2018,105996973,6927034,7387461,7938241,8394229,8416472,8435486,8685280,8559587,7541101,6762076,6287407,5607955,4613541,3609468,2627186,1837630,1235133,684305,447381
,,2019,106777332,6842781,7285274,7823491,8338727,8415846,8424527,8587322,8700521,7727483,6860758,6354175,5752390,4771756,3758315,2761513,1897164,1287481,710925,476883
