Código,Sigla,UF,Região,Região oficial,Ano,Sexo,Total,0-4 anos,5-9 anos,10-19 anos,20-29 anos,30-39 anos,40-49 anos,50-59 anos,60+ anos
13,AM,Amazonas,RegN,N,2005,M,1643149,213956,205725,368894,317582,222476,153465,87456,73595
13,AM,Amazonas,RegN,N,2005,Total,3244995,418904,406987,728078,631406,436578,298353,171185,153504
13,AM,Amazonas,RegN,N,2006,F,1638696,205537,201966,365667,320755,223024,150497,88414,82836
13,AM,Amazonas,RegN,N,2006,M,1679983,214645,207051,375609,324544,230368,159290,92369,76107
13,AM,Amazonas,RegN,N,2006,Total,3318679,420182,409017,741276,645299,453392,309787,180783,158943
13,AM,Amazonas,RegN,N,2007,F,1675171,205660,202504,372815,326430,232477,155959,93339,85987
13,AM,Amazonas,RegN,N,2007,M,1716423,214860,208333,382825,330368,238709,164993,97450,78885
13,AM,Amazonas,RegN,N,2007,Total,3391594,420520,410837,755640,656798,471186,320952,190789,164872
13,AM,Amazonas,RegN,N,2008,F,1711179,205377,202953,380064,331170,242308,161420,98466,89421
13,AM,Amazonas,RegN,N,2008,M,1752383,214647,209675,389985,335358,247413,170637,102686,81982
13,AM,Amazonas,RegN,N,2008,Total,3463562,420024,412628,770049,666528,489721,332057,201152,171403
13,AM,Amazonas,RegN,N,2009,F,1746661,204746,203458,386553,335517,252305,167096,103751,93235
13,AM,Amazonas,RegN,N,2009,M,1787795,214074,211242,396226,340032,256346,176331,108071,85473
13,AM,Amazonas,RegN,N,2009,Total,3534456,418820,414700,782779,675549,508651,343427,211822,178708
13,AM,Amazonas,RegN,N,2010,F,1781558,203823,204334,391488,339848,262280,173140,109162,97483
13,AM,Amazonas,RegN,N,2010,M,1822607,213196,213391,400745,344745,265377,182157,113599,89397
13,AM,Amazonas,RegN,N,2010,Total,3604165,417019,417725,792233,684593,527657,355297,222761,186880
13,AM,Amazonas,RegN,N,2011,F,1816023,202677,204808,395796,344056,272278,179525,114714,102169
13,AM,Amazonas,RegN,N,2011,M,1856946,212071,214097,405703,349391,274562,188101,119271,93750
13,AM,Amazonas,RegN,N,2011,Total,3672969,414748,418905,801499,693447,546840,367626,233985,195919
13,AM,Amazonas,RegN,N,2012,F,1850116,201369,204850,399572,348000,282376,186214,120439,107296
13,AM,Amazonas,RegN,N,2012,M,1890860,210753,214339,410180,353826,283985,194138,125107,98532
13,AM,Amazonas,RegN,N,2012,Total,3740976,412122,419189,809752,701826,566361,380352,245546,205828
13,AM,Amazonas,RegN,N,2013,F,1883725,199924,204517,402687,352048,292188,193296,126228,112837
13,AM,Amazonas,RegN,N,2013,M,1924196,209270,214155,414064,358361,293263,200386,131002,103695
13,AM,Amazonas,RegN,N,2013,Total,3807921,409194,418672,816751,710409,585451,393682,257230,216532
13,AM,Amazonas,RegN,N,2014,F,1916826,198347,203870,405098,356737,301183,200903,131948,118740
13,AM,Amazonas,RegN,N,2014,M,1956917,207633,213609,417303,363461,301882,207016,136846,109167
13,AM,Amazonas,RegN,N,2014,Total,3873743,405980,417479,822401,720198,603065,407919,268794,227907
13,AM,Amazonas,RegN,N,2015,F,1949359,196620,202963,406810,362338,309039,209087,137532,124970
13,AM,Amazonas,RegN,N,2015,M,1988977,205834,212758,419896,369350,309532,214136,142566,114905
13,AM,Amazonas,RegN,N,2015,Total,3938336,402454,415721,826706,731688,618571,423223,280098,239875
13,AM,Amazonas,RegN,N,2016,F,1981297,194690,201850,407880,368711,315786,217831,142997,131552
